[00:00.00] 作词 : ピノキオピー  作词：匹诺曹P
[00:00.00] 作曲 : ピノキオピー  作词：匹诺曹P
[00:00.00]作詞：ピノキオP  作词：匹诺曹P
[00:11.05]作曲：ピノキオP  作曲：匹诺曹P
[00:24.00]花は枯れた  花儿枯萎了　　  花儿枯萎了
[00:26.10]どこか優しい色をしてる  似乎带着一丝柔和的色彩  却透着某种温柔的色泽
[00:31.38]でも誰も知らないんだ  但是谁也不曾知晓　　  但谁都不曾知晓
[00:36.01]みんな知らないんだ  众人并不知道  所有人都不知道
[00:47.21]顔を描いた  我画了一张脸  我画着那张脸
[00:49.63]会えなくなった君の顔を  那是已经无法相会的你的面容  再也见不到的你容颜
[00:54.84]少し悪い歯並びも  你那不太整齐的牙齿  连微微参差的齿列
[00:58.96]ぼんやり覚えてるんだ  我也还依稀记得  都还朦胧记得
[01:03.56]ああ  UFO が見えるから  啊啊　我能看到UFO  啊啊 我看见UFO了
[01:08.77]誰かに知らせなきゃ  要快点找个人说出去啊  得赶快告诉谁才行
[01:12.76]ねえ 幾千回 感動した思い出も   哎 几千次感动的回忆  唉 数千次感动的回忆
[01:18.07]ひとりぼっちの妄想だった気がして  也感觉像是孤单一人的妄想  也像是孤独者的妄想
[01:23.63]また 好きなものを見つけたら  要是能再找到喜欢的东西  若能再找到心爱之物
[01:28.62]頭は治るかな  我的脑子是不是就能治好了呢  我的病会不会痊愈
[01:39.67]星が落ちた  星星掉了下来　  流星坠落时
[01:42.13]脳に直接 語りかける  直接对着我的脑内　  直接在脑内对我低语
[01:47.41]あいつの声を信じた  我相信了它的声音　　  我信了那声音
[01:51.92]酷く冷めた目つきで  带着无比冰冷的眼神  用冰冷刺骨的眼神
[01:55.69]ああ  不幸は癖になるから  啊啊　不幸是会成为习惯的  啊啊 不幸会变成习惯
[02:01.01]はやくころさなくちゃ  要赶紧趁早扼杀  必须趁早扼杀才行
[02:05.21]ねえ 幾千年 越えてきた遺伝子も  哎　超越了几千年的基因　  唉 穿越数千年的基因
[02:10.23]辿り着いたのは狭い病室で  最终到达的也只是狭窄的病房  最终抵达的却是病房
[02:15.80]汚れたパジャマを着替えたら  换下这件弄脏的睡衣之后  换下这件脏睡衣后
[02:20.81]家に帰れるかな  是不是就能回家了呢  能不能回家呢
[02:33.66]君がいないから  因为你已经不在了  因为你不在了
[02:37.45]描いてます　絵を描いてます  我在画着　画着画  我在画着 不停地画着
[02:42.56]理解されたいことのすべてが  我想让别人理解的一切都是假货　  想被理解的一切
[02:47.85]偽物で困ります  真是让人伤透了脑筋  全是赝品真困扰
[02:53.21]ああ  啊啊  啊啊
[02:58.35]たくさん悩んで伝えても  就算费尽心思告诉别人  就算拼命倾诉烦恼
[03:02.85]病室のカーテンが揺れるだけ  病房的窗帘也还是一直飘动  病房窗帘也只是飘摇
[03:08.34]もし 君のことを忘れたら  如果忘记了你  如果把你遗忘的话
[03:13.36]UFOは消えるかな  UFO是不是也会消失了呢  UFO会消失吗
[03:17.27]幾千回 感動した思い出は  几千次感动的回忆  数千次感动的回忆
[03:21.35]妄想でも忘れられないからね  就算只是妄想我也绝对忘不了  就算是妄想也难忘怀
[03:26.97]また 好きなものを見つけたら  要是能再找到喜欢的东西  若能再找到心爱之物
[03:31.82]あの頃のぼくに戻れるかな  是不是就能变回那时候的我了呢  能否变回那时的我
